Track,Album Name,Explicit Track,Release Date,Artist,artist_id,track_id
"Satranga (From ""Animal"")","Satranga (From ""Animal"") - Single",0,2023-10-28,Arijit Singh,405,690
My Universe,My Universe,0,2021-09-24,Coldplay,406,691
Peaches & Eggplants (Feat. 21 Savage),Peaches & Eggplants (Feat. 21 Savage),1,2023-02-27,Young Nudy,407,692
"Who Want Smoke?? (Feat. G Herbo, Lil Durk & 21 Savage)","Who Want Smoke?? (Feat. G Herbo, Lil Durk & 21 Savage)",1,2021-10-08,Nardo Wick,408,693
Thinking Out Loud,Piano Moods: 50 Songs,0,2017-03-28,Ed Sheeran,47,694
O Me Voy O Te Vas,O Me Voy O Te Vas,0,2023-10-11,Natanael Cano,230,695
Punterï¿½,Punterï¿½,0,2024-03-21,Shakira,103,696
Girls Like You (Feat. Cardi B),Red Pill Blues (Deluxe),1,2017-11-03,Maroon 5,143,697
Slime You Out (Feat. Sza),Slime You Out,1,2023-09-15,Drake,120,698
Therefore I Am,Therefore I Am,0,2020-11-12,Billie Eilish,13,699
Wish You The Best,Wish You The Best,0,2023-04-14,Lewis Capaldi,102,700
New Rules,Summer Beats 2018,0,2018-07-20,Dua Lipa,42,701
Stitches,Stitches,0,2015-02-10,Shawn Mendes,126,702
Back On 74,Back On 74,0,2023-07-28,Jungle,409,703
"Welcome To Rosas - From ""Wish""","Welcome To Rosas (From ""Wish"")",0,2023-11-01,Ariana Debose,139,704
Por Mi Mexico (Remix),"Por Mi Mï¿½Ï¿½Xico (Remix) [Feat. Dharius, C-Kan, Mc Davo & Neto Peï¿½Ï¿½A]",1,2023-08-25,Lefty Sm,410,705
This Year (Blessings),This Year (Blessings) (Feat. Ehis 'D' Greatest) - Single,0,2023-01-04,Victor Thompson,411,706
"Abrarï¿½Ï¿½Ï¿½S Entry | Jamal Kudu ""Animal"")","Abrarï¿½Ï¿½Ï¿½S Entry | Jamal Kudu ""Animal"")",0,2023-12-06,Harshavardhan Rameshwar,412,707
Fair Trade (With Travis Scott),Certified Lover Boy,1,2021-09-03,Drake,120,708
Mayores,Mayores,0,2017-07-14,Becky G,220,709
Chorrito Pa Las Animas,Sixdo,1,2022-12-02,Feid,134,710
New Divide,Papercuts,0,2024-04-12,Linkin Park,62,711
White Horse,White Horse,0,2023-07-21,Chris Stapleton,393,712
Ojitos Rojos,Ojitos Rojos - Single,0,2023-07-21,Grupo Frontera,66,713
La Morocha,La Morocha,0,2023-07-07,Luck Ra,413,714
Who Is Your Guy?,Who Is Your Guy?,0,2022-11-25,Spyro,414,715
You Right,You Right,1,2021-06-24,Doja Cat,20,716
Amg,Amg,1,2022-11-24,Natanael Cano,230,717
Bandido,Bandido,0,2020-12-10,Myke Towers,16,718
Karma,Karma,0,2024-04-05,Jojo Siwa,415,719
El Gordo Trae El Mando,El Gordo Trae El Mando,1,2023-01-27,Chino Pacas,416,720
Ya No Tengo Tu Love,Origami,0,2023-12-06,Sie7E,417,721
52 Gaj Ka Daman,52 Gaj Ka Daman,0,2020-10-02,Renuka Panwar,418,722
Ftcu,Pink Friday 2,1,2023-12-08,Nicki Minaj,288,723
Go Crazy,Slime & B,1,2020-05-05,Young Thug,260,724
La Jumpa,La Jumpa,1,2022-11-30,Arcï¿½Ï¿½,419,725
I Don'T Care,I Don'T Care - Single,0,2024-02-23,Boy Spyce,420,726
Roar,2013 The Hottest,0,2013-01-01,Katy Perry,189,727
No Guidance (Feat. Drake),No Guidance (Feat. Drake),1,2019-06-08,Chris Brown,266,728
34+35,Positions,1,2020-10-30,Ariana Grande,27,729
Permission To Dance,Butter / Permission To Dance,0,2021-07-09,Bts,100,730
Changes,Changes,0,2018-03-02,Xxxtentacion,196,731
Tell Ur Girlfriend,Tell Ur Girlfriend,1,2024-02-07,Lay Bankz,421,732
Spider,Spider,0,2024-05-10,Gims,422,733
Sunday Best,Where The Light Is,0,2018-08-28,Surfaces,423,734
Guli Mata,Guli Mata,0,2023-07-12,Saad Lamjarred,424,735
Hola Perdida,Hola Perdida,0,2024-01-05,Luck Ra,413,736
Better,Better,0,2018-09-14,Khalid,425,737
I Don'T Care (With Justin Bieber),I Don'T Care (With Justin Bieber),1,2019-05-10,Ed Sheeran,47,738
Substitution,Substitution,0,2023-03-30,Purple Disco Machine,426,739
Automotivo Bibi Fogosa,Automotivo Bibi Fogosa,1,2023-05-19,Bibi Babydoll,427,740
Mercho,Mercho,0,2022-12-16,Lil Cake,428,741
Bandook,Bandook,0,2020-05-30,Nirvair Pannu,429,742
Silence,Silence,0,2017-08-11,Marshmello,202,743
Miï¿½Ï¿½N,Miï¿½Ï¿½N,0,2021-04-29,Tini,430,744
Trap Queen,Trap Queen,1,2014-12-15,Fetty Wap,431,745
Sign Of The Times,Sign Of The Times,0,2017-04-07,Harry Styles,19,746
Metamorphosis,Metamorphosis,1,2021-11-25,Interworld,432,747
Botella Tras Botella,Botella Tras Botella,0,2021-04-23,Gera Mx,433,748
"Me, Myself & I","Me, Myself & I",1,2015-10-14,G-Eazy,112,749
"Steal The Show - From ""Elemental""","Steal The Show (From ""Elemental"")",0,2023-06-02,Lauv,434,750
Lut Gaye,Lut Gaye,0,2021-02-17,Jubin Nautiyal,382,751
Piel,Piel,1,2024-02-01,Tiago Pzk,435,752
Pasoori,Pasoori,0,2022-02-06,Shae Gill,436,753
The Boy Is Mine,Eternal Sunshine,1,2024-03-08,Ariana Grande,27,754
When We Were Young (The Logical Song),When We Were Young (The Logical Song),0,2023-11-10,David Guetta,39,755
Swalla (Feat. Nicki Minaj & Ty Dolla $Ign),Nu King,0,2024-02-16,Jason Derulo,371,756
Lay Low,Lay Low,0,2023-01-06,Tiï¿½Ï¿,245,757
Bounce When She Walk,Bounce When She Walk,1,2023-02-03,Ohboyprince,437,758
"Apna Bana Le (From ""Bhediya"")","Apna Bana Le (From ""Bhediya"")",0,2022-11-05,Arijit Singh,405,759
Hold My Hand,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",0,2022-05-03,Lady Gaga,148,760
Big Energy,Big Energy - Single,1,2021-09-24,Latto,438,761
Goodbyes (Feat. Young Thug),Goodbyes (Feat. Young Thug),1,2019-07-05,Post Malone,11,762
Location,Location,0,2016-05-24,Khalid,425,763
Italodisco,Italodisco,1,2023-05-05,The Kolors,439,764
Perfect Night,Perfect Night,0,2023-10-27,Le Sserafim,243,765
Vida De Rico,Vida De Rico,0,2020-09-21,Camilo,440,766
Frï¿½Ï¿½Gil (Feat. Grupo Front,Frï¿½Ï¿½Gil (Feat. Grupo Front,0,2023-04-07,Yahritza Y Su Esencia,441,767
In My Feelings,Scorpion,1,2018-06-29,Drake,120,768
You Broke My Heart,For All The Dogs Scary Hours Edition,1,2023-10-06,Drake,120,769
Attention,Attention,0,2017-04-20,Charlie Puth,290,770
Zhurek,Zhurek,0,2023-10-06,Adam,442,771
Let Me Down Slowly,Let Me Down Slowly,0,2018-05-25,Alec Benjamin,443,772
In The End,In The End,0,2018-04-06,Tommee Profitt,444,773
Took Her To The O,Took Her To The O,1,2020-02-21,King Von,445,774
Boyfriend,Boyfriend,1,2022-02-11,Dove Cameron,446,775
Orquestra Maldita,Orquestra Maldita,1,2023-06-15,Trashxrl,232,776
Sucker,Sucker,0,2019-03-01,Jonas Brothers,447,777
Alone,Alone,0,2016-05-13,Marshmello,202,778
Moto,Moto - Single,0,2020-01-06,Diler Kharkiya,448,779
Pareja Del Aï¿½,Pareja Del Aï¿½,0,2021-04-16,Sebastian Yatra,343,780
Painting Pictures,5Lbs Of Pressure,1,2022-10-20,Superstar Pride,449,781
Gooba,Gooba,1,2020-05-08,6Ix9Ine,450,782
Vampire,Vampire,0,2023-06-30,Olivia Rodrigo,107,783
The Diner,Hit Me Hard And Soft,0,2024-05-17,Billie Eilish,13,784
6 In The Morning (Feat. Nate Dogg),6 In The Morning (Feat. Nate Dogg) - Single,1,2024-05-17,Flex (Uk),451,785
Light Switch,Light Switch (Instrumental),0,2022-01-19,Charlie Puth,290,786
"Pushpa Pushpa (From ""Pushpa 2 The Rule"") [Hindi]","Pushpa Pushpa (From ""Pushpa 2 The Rule"") [Hindi]",0,2024-05-01,Mika Singh,452,787
On Me,On Me,1,2020-12-04,Lil Baby,178,788
When The Party'S Over,When The Party'S Over,0,2018-10-17,Billie Eilish,13,789
Love The Way You Lie,538 Hitzone 55,1,2010-01-01,Eminem,5,790
Party,Un Verano Sin Ti,0,2022-05-06,Bad Bunny,56,791
Make You Mine,Make You Mine,0,2024-02-09,Madison Beer,453,792
Freaks,Freaks,0,2021-05-15,Surf Curse,454,793
In Da Getto,In Da Getto,0,2021-07-02,J Balvin,183,794
Chale,Chale - Single,0,2022-02-18,Eden Muï¿½Ï,455,795
Try That In A Small Town,Try That In A Small Town,1,2023-05-19,Jason Aldean,456,796
Tarot,Un Verano Sin Ti,1,2022-05-06,Bad Bunny,56,797
Mas Existe Um Lugar,Mas Existe Um Lugar - Single,1,2023-03-23,Kaio Viana,457,798
Texas Hold 'Em,Texas Hold 'Em,0,2024-02-09,Beyoncï¿,22,799
Petit Gï¿½Ï¿,Petit Gï¿½Ï¿,1,2023-08-04,Jungeli,458,800
Bura Na Mano Holi Hai,Bura Na Mano Holi Hai,0,2023-02-04,Shaan,459,801
Ýýý,Show - Single,0,2023-09-06,Ado,460,802
Breaking The Habit,Papercuts,0,2024-04-12,Linkin Park,62,803
Work,Anti (Deluxe),1,2016-01-28,Rihanna,333,804
Normal,Normal,1,2022-07-08,Feid,134,805
Lalalala,Rock-Star,0,2023-11-10,Stray Kids,282,806
Sum 2 Prove,Sum 2 Prove,1,2020-01-10,Lil Baby,178,807
Lottery (Renegade),Lottery,1,2019-04-01,K Camp,461,808
Meant To Be (Feat. Florida Georgia Line),All Your Fault: Pt. 2,0,2017-08-11,Bebe Rexha,462,809
Good Days,Good Days,1,2020-12-25,Sza,59,810
Leave Before You Love Me (With Jonas Brothers),Summer 2021,0,2021-04-28,Marshmello,202,811
Youngblood,Youngblood,0,2018-04-12,5 Seconds Of Summer,463,812
Sweater Weather,I'M Sorry...,0,2012-01-01,The Neighbourhood,464,813
Merayu Tuhan,Merayu Tuhan,0,2023-08-15,Tri Suaka,465,814
If We Being Rï¿½Ï,2093,1,2024-02-16,Yeat,279,815
Can We Kiss Forever?,Can We Kiss Forever?,0,2018-08-31,Kina,466,816
Felices Los 4,Felices Los 4,0,2017-04-21,Maluma,135,817
Mariposita,Mariposita,0,2021-03-04,La Vaca Lola,467,818
Relaciï¿½,Relaciï¿½,0,2020-04-02,Sech,468,819
Elovrga,Elovrga - Single,1,2023-08-18,Alex Favela,469,820
Party Girl,Party Girl,0,2020-04-21,Staysolidrocky,470,821
I Feel It Coming,I Feel It Coming,0,2016-11-17,The Weeknd,49,822
Get In With Me,Get In With Me - Single,1,2024-01-19,Bossman Dlow,471,823
Agua (With J Balvin),"Agua (With J Balvin) [Music From ""Sponge On The Run"" Movie]",0,2020-07-09,Tainy,472,824
Human,Human,0,2016-07-21,Rag'N'Bone Man,473,825
We Still Don'T Trust You,We Still Don'T Trust You,1,2024-04-12,Future,14,826
Snowfall,Snowfall - Single,0,2022-01-14,Ýýneheart,474,827
First Love,First Love - Single,0,2023-12-07,Oscar Maydon,475,828
La_Original.Mp3,La_Original.Mp3,0,2023-11-02,Emilia,476,829
Oa,Oa,1,2023-10-13,Anuel Aa,241,830
Pagodï¿½Ï¿½O Do Birimbola (Tchubirabi,Pagodï¿½Ï¿½O Do Birimbola (Tchubirabi,0,2022-11-11,Os Quebradeiras,477,831
Ice Cream (With Selena Gomez),Ice Cream (With Selena Gomez),0,2020-08-28,Blackpink,156,832
Deja Vu,Minisode 3: Tomorrow,0,2024-04-01,Tomorrow X Together,478,833
One Of Wun,One Of Wun,1,2024-05-10,Gunna,36,834
Thank You (Not So Bad),Thank You (Not So Bad),0,2023-12-01,Dimitri Vegas & Like Mike,479,835
Watch This - Arizonatears Pluggnb Remix,Watch This (Lil Uzi Vert) [Arizonatears Pluggnb Remix],1,2023-02-05,Lil Uzi Vert,210,836
Middle Child,Middle Child,1,2019-01-24,J. Cole,480,837
To The Moon,To The Moon,1,2021-11-05,Jnr Choi,481,838
Fancy Like,Country Stuff,0,2021-06-04,Walker Hayes,482,839
The Color Violet,Alone At Prom,0,2021-12-10,Tory Lanez,483,840
S91,S91,0,2023-07-14,Karol G,69,841
Lalisa,Lalisa,0,2021-09-10,Lisa,153,842
Levitating,Future Nostalgia,0,2020-03-27,Dua Lipa,42,843
Rubicon,Gï¿½Ï¿½N,1,2023-06-22,Peso Pluma,81,844
Gimme Love,Gimme Love,0,2023-09-13,Sia,329,845
Diz Aï¿½Ï¿½ Qual Ï¿½Ï¿½,Diz Aï¿½Ï¿½ Qual Ï¿½Ï¿½,1,2024-03-07,Mc Ig,311,846
"Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")","Akhiyaan Gulaab (From ""Teri Baaton Mein Aisa Uljha Jiya"")",0,2024-01-19,Mitraz,484,847
Arjan Vailly,"Arjan Vailly (From ""Animal"")",0,2023-11-18,Manan Bhardwaj,485,848
Demons,Continued Silence - Ep,0,2012-01-01,Imagine Dragons,93,849
Supalonely,Stella & Steve,1,2019-11-15,Benee,486,850
Lean On (Feat. Mï¿½Ï¿½ & Dj Sn,Full Circle: The Live Anthology,1,2011-11-20,Major Lazer,487,851
Spin Bout U,Her Loss,1,2022-11-04,Drake,120,852
From The Start,From The Start - Single,0,2023-05-11,Laufey,488,853
Zoom,Zoom,0,2022-04-13,Jessi,489,854
Can'T Feel My Face,Your Songs 2015,0,2015-03-02,The Weeknd,49,855
Quï¿½Ï¿½ Onda Per,Quï¿½Ï¿½ Onda Per,0,2023-03-30,Grupo Firme,490,856
Sexy And I Know It,Sorry For Party Rocking (Japan Version),0,2011-01-01,Lmfao,491,857
Whats Poppin,Whats Poppin,1,2020-01-21,Jack Harlow,6,858
Por El Contrario,Esquinas,0,2023-09-28,Becky G,220,859
Danza Kuduro - Cover,Don'T Stop Workout -Djmix-,1,2023-12-21,Dj Mix Non-Stop Channel,492,860
Rara Vez,Rara Vez,0,2023-02-08,Taiu,493,861
That That (Prod. & Feat. Suga Of Bts),Psy 9Th,0,2022-04-29,Psy,383,862
Espresso,Espresso,0,2024-04-11,Sabrina Carpenter,21,863
Whoï¿½Ï¿½Ï¿½S Afraid Of Little O,The Tortured Poets Department,0,2024-04-18,Taylor Swift,17,864
The Loneliest,The Loneliest,0,2022-10-07,Mï¿½Ï¿½Ne,261,865
Yeah Glo!,Yeah Glo! (Alternate Versions),1,2024-02-08,Glorilla,271,866
Nunca Es Suficiente,Nunca Es Suficiente,0,2018-04-20,Los Ï¿½Ï¿½Ngeles Az,494,867
Manikin (Feat. Wifisfuneral),Itwasntenough - Ep,1,2023-09-08,Xxxtentacion,196,868
Copines,Copines,0,2018-08-24,Aya Nakamura,495,869
Thank God,Different Man,0,2022-09-09,Kane Brown,496,870
Tqm,Tqm - Single,1,2023-05-19,Fuerza Regida,203,871
Lily,Different World,0,2018-12-14,Alan Walker,387,872
Massive,"Honestly, Nevermind",0,2022-06-17,Drake,120,873
A Lot,I Am > I Was,1,2018-12-21,21 Savage,74,874
Adicto (With Anuel Aa & Ozuna),Adicto (With Anuel Aa & Ozuna),0,2019-08-22,Tainy,472,875
Tek Baï¿½Ï¿½,Tek Baï¿½Ï¿½Ï¿½Ï¿½Ma,0,2024-05-03,Semicenk,497,876
Band4Band,Band4Band (Official Video),1,2024-06-06,Central Cee,10,877
Look What You Made Me Do,Look What You Made Me Do,0,2017-08-24,Taylor Swift,17,878
Woke Up,Woke Up,0,2024-05-21,Xg,498,879
Toki,Toki,0,2024-05-02,Casper Magico,499,880
Young Dumb & Broke,The Rca-List (Vol. 5),0,2017-01-01,Khalid,425,881
El Beneficio De La Duda,El Beneficio De La Duda,0,2024-05-28,Grupo Firme,490,882
Alv,"Sentimiento, Elegancia Y Mï¿½Ï¿½S Ma",0,2023-11-17,Arcï¿½Ï¿½,419,883
In A Minute,In A Minute,1,2022-04-07,Lil Baby,178,884
Save Your Tears (With Ariana Grande) (Remix),After Hours (Deluxe),0,2020-03-20,The Weeknd,49,885
No Se Vale,Un,0,2024-02-07,Camilo,440,886
Jerusalema (Feat. Nomcebo Zikode),Jerusalem,0,2019-11-29,Master Kg,500,887
Dentro Da Hilux,Dentro Da Hilux - Single,0,2023-08-24,Luan Pereira,501,888
Funk Do Patinho,Funk Do Patinho,0,2022-01-22,Bento E Totï¿,502,889
El Amor De Mi Vida,El Amor De Mi Vida,0,2023-08-17,Los Ï¿½Ï¿½Ngeles Az,494,890
Blueberry Faygo,Certified Hitmaker,1,2019-11-08,Lil Mosey,503,891
Jiggle Jiggle,Jiggle Jiggle,0,2022-05-13,Duke & Jones,504,892
En La Intimidad,En La Intimidad,0,2023-02-01,Big One,348,893
Counting Stars,Native (Standard),0,2013-01-01,Onerepublic,97,894
Essence (Feat. Tems),Essence (Feat. Tems),0,2020-10-28,Wizkid,505,895
Get Into It (Yuh),Planet Her,1,2021-06-25,Doja Cat,20,896
Rave,Rave,0,2022-03-18,Dxrk Ï¿½Ï¿½Ï¿½,506,897
No Me Conoce,No Me Conoce,0,2019-02-22,Jhay Cortez,507,898
Offline,Att.,1,2024-04-05,Young Miko,508,899
Topia Twins,Utopia,1,2023-07-28,Travis Scott,94,900
Janze,Janze,0,2023-07-31,Xamdam Sobirov,258,901
"O Saki Saki (From ""Batla House"")","O Saki Saki (From ""Batla House"")",0,2019-07-15,Neha Kakkar,509,902
Always Remember Us This Way,A Star Is Born Soundtrack,0,2018-10-05,Lady Gaga,148,903
Monotonï¿½,Monotonï¿½,0,2022-10-19,Shakira,103,904
Aku Sayang Tapi Kau Tak Paham,Aku Sayang Tapi Kau Tak Paham,0,2023-11-15,Dj Boneng,510,905
Thought You Should Know,Thought You Should Know,1,2022-05-06,Morgan Wallen,123,906
Cairo,Cairo,1,2022-11-13,Karol G,69,907
Cupido,Cupido,0,2023-02-14,Tini,430,908
Raja Ji Ke Dilwa,Raja Ji Ke Dilwa,0,2023-12-19,Pawan Singh,511,909
Out Thï¿½Ï¿½,Lyfï¿,1,2022-09-09,Yeat,279,910
Winning Speech,Winning Speech,0,2024-05-16,Karan Aujla,512,911
Home,Home - Single,0,2024-01-17,Good Neighbours,513,912
Sobrio,Sobrio,0,2021-07-08,Maluma,135,913
"Am I Dreaming (Metro Boomin & A$Ap Rocky, Roisee)",Metro Boomin Presents Spider-Man: Across The Spider-Verse (Soundtrack From And Inspired By The Motion Picture),0,2023-06-02,Metro Boomin,50,914
Praise The Lord (Da Shine) (Feat. Skepta),Testing,1,2018-05-25,A$Ap Rocky,514,915
Se Acabï¿½Ï¿½ La Cuaren,Viva El Perreo,1,2020-08-06,Jowell & Randy,515,916
Look Back At It,Look Back At It,1,2018-12-07,A Boogie Wit Da Hoodie,516,917
End Of Beginning,Decide,0,2022-09-16,Djo,517,918
K-Pop,K-Pop (Chopped & Screwed),1,2023-07-18,Travis Scott,94,919
Favorite,Favorite - Ep,0,2024-03-29,Isabel Larosa,518,920
You & Me,Jennie Special Single [You & Me],0,2023-10-06,Jennie,519,921
Tattoo,Tattoo,0,2020-02-13,Rauw Alejandro,176,922
Waka Waka (This Time For Africa) [The Official 2010 Fifa World Cup (Tm) Song] (Feat. Freshlyground),So Fresh The Hits Of Summer 2011 + The Best Of 2010,0,2010-01-01,Shakira,103,923
La Ranger (Feat. Myke Towers),The Academy: Segunda Misiï¿½,1,2024-03-28,The Academy: Segunda Misiï¿½,520,924
No Tears Left To Cry,No Tears Left To Cry,0,2018-04-20,Ariana Grande,27,925
I Fck Up,I Fck Up - Single,1,2023-10-28,Prince Ayaya,521,926
Upside Down,Upside Down,0,2020-08-18,Jvke,137,927
Crawling,Papercuts,0,2024-04-12,Linkin Park,62,928
Nosso Quadro,Agroplay Verï¿½Ï¿½O V,0,2023-02-02,Agroplay,522,929
Apaga El Cel,Apaga El Cel - Single,1,2024-05-17,Floyymenor,8,930
Genda Phool (Feat. Payal Dev),Genda Phool (Feat. Payal Dev),0,2020-03-26,Badshah,523,931
Pure Cocaine,Street Gossip,1,2018-11-30,Lil Baby,178,932
Pretty Little Poison,Pretty Little Poison - Single,0,2023-03-17,Warren Zeiders,524,933
Corazï¿½Ï¿½N Roto - R,Corazï¿½Ï¿½N Roto (Re,1,2023-04-07,Brray,525,934
Summer,Todo Exitos 2014 (Los Nï¿½Ï¿½Mero 1 Del A,0,2014-01-01,Calvin Harris,240,935
Murder On My Mind,Murder On My Mind,1,2018-06-01,Ynw Melly,360,936
You Are The Reason,You Are The Reason,0,2017-11-17,Calum Scott,526,937
Bad Liar,Bad Liar,0,2018-11-06,Imagine Dragons,93,938
Wild Ones (Feat. Jelly Roll),Wild Ones (Feat. Jelly Roll),1,2023-10-06,Jessie Murph,527,939
Roxanne,Roxanne,1,2019-10-10,Arizona Zervas,528,940
Softly,Making Memories,0,2023-08-18,Karan Aujla,512,941
Tacones Rojos,Tacones Rojos,0,2021-10-22,Sebastian Yatra,343,942
Ride The Vibe,Ride The Vibe,0,2024-05-20,Nexz,529,943
Family Ties,Family Ties - Single,1,2021-08-27,Baby Keem,530,944
"Perdonarte, Ï¿½Ï¿½Para Q","Perdonarte, Ï¿½Ï¿½Para Q",0,2024-05-23,Los Ï¿½Ï¿½Ngeles Az,494,945
Whatever It Takes,Whatever It Takes,0,2017-05-09,Imagine Dragons,93,946
Pop!,Im Nayeon,0,2022-06-24,Nayeon,531,947
Into The Unknown,New Horizons,0,2023-01-13,Alpha 9,532,948
Lonely At The Top,Work Of Art,0,2023-06-15,Asake,533,949
Ecstacy (Slowed),Ecstacy (Slowed),1,2023-06-06,Suicidal-Idol,534,950
Si Se Da,Si Se Da,1,2019-02-26,Myke Towers,16,951
Holy (Feat. Chance The Rapper),Holy,0,2020-09-18,Justin Bieber,116,952
No Role Modelz,2014 Forest Hills Drive,1,2014-12-09,J. Cole,480,953
Symphony (Feat. Zara Larsson),Symphony (Feat. Zara Larsson),0,2017-03-16,Clean Bandit,206,954
Rain On Me (With Ariana Grande),Rain On Me (With Ariana Grande),0,2020-05-22,Lady Gaga,148,955
"Baddadan (Feat. Irah, Flowdan, Trigga & Takura)","Baddadan (Feat. Irah, Flowdan, Trigga & Takura)",0,2023-07-27,Chase & Status,535,956
10:35,10:35,0,2022-11-03,Tiï¿½Ï¿,245,957
One Right Now (With The Weeknd),One Right Now,1,2021-11-05,Post Malone,11,958
A Thousand Years,A Thousand Years,0,2011-10-18,Christina Perri,536,959
Secreto,Secreto,0,2019-01-15,Anuel Aa,241,960
Toda Remix - Remix,Toda (Remix),1,2018-06-01,Alex Rose,537,961
I Hate U,I Hate U - Single,1,2021-12-03,Sza,59,962
Better Now,Beerbongs & Bentleys,1,2018-04-27,Post Malone,11,963
Call Me Maybe,Kiss,0,2012-01-01,Carly Rae Jepsen,538,964
Pobre Corazï¿½,Pobre Corazï¿½Ï¿½N (En Vivo) [Feat. Onda Sabanera] - Si,0,2023-03-02,Ke Personajes,539,965
Piece Of Your Heart,Piece Of Your Heart,0,2019-02-01,Meduza,358,966
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Tere Vaaste (From ""Zara Hatke Zara Bachke"")",0,2023-05-22,Varun Jain,540,967
Mi Kryptonita,Talento De Vida,0,2023-10-11,Doble One Flow Letal,541,968
Ram Pam Pam,Ram Pam Pam,1,2021-04-20,Natti Natasha,384,969
"Milo J: Bzrp Music Sessions, Vol. 57",En Dormir Sin Madrid,0,2023-10-03,Bizarrap,63,970
Stuck In The Middle,Babymonster Pre-Release Single [Stuck In The Middle],0,2024-02-01,Babymonster,30,971
No Se Va,No Se Va (En Vivo) - Ep,0,2022-04-28,Grupo Frontera,66,972
Aesthetic,Aesthetic,1,2020-02-14,Xilo,542,973
Get Him Back!,Guts,1,2023-09-08,Olivia Rodrigo,107,974
La People Ii,La People Ii,1,2024-03-21,Peso Pluma,81,975
"Valerie - Live At Bbc Radio 1 Live Lounge, London / 2007",Back To Black: Songs From The Original Motion Picture,0,2024-04-12,Amy Winehouse,543,976
The Tortured Poets Department,The Tortured Poets Department,1,2024-04-18,Taylor Swift,17,977
Your Love (9Pm),Your Love (9Pm),0,2021-01-15,Atb,544,978
One Side,One Side,0,2022-09-15,Iyanya,545,979
Heat Stick,Heat Stick,1,2024-05-10,Shoreline Mafia,546,980
Photograph,X (Wembley Edition),0,2013-01-01,Ed Sheeran,47,981
Virginia Beach,For All The Dogs,1,2023-10-06,Drake,120,982
Great Gatsby,Nostalgia,1,2023-09-15,Rod Wave,547,983
"1, 2, 3 (Feat. Jason Derulo & De La Ghetto)","1, 2, 3 (Feat. Jason Derulo & De La Ghetto)",0,2018-02-16,Sofï¿½Ï¿½A R,548,984
Ateï¿½Ï¿½E Dï¿½Ï,Ateï¿½Ï¿½E Dï¿½Ï,0,2023-09-22,Mert Demir,549,985
Until I Found You (With Em Beihold) - Em Beihold Version,Until I Found You (Em Beihold Version),0,2022-04-22,Stephen Sanchez,221,986
Wants And Needs (Feat. Lil Baby),Scary Hours 2,1,2021-03-05,Drake,120,987
Jiwa Yang Bersedih,Jiwa Yang Bersedih - Single,0,2023-05-18,Ghea Indrawari,550,988
Coco Chanel,3Men2 Kbrn,1,2023-03-17,Eladio Carrion,551,989
Calm Down Baby,Calm Down Baby - Single,0,2024-01-12,Dj Laxman,552,990
At My Worst,The Prelude,0,2020-07-17,Pink Sweat$,553,991
Too Much,Too Much,1,2023-10-19,The Kid Laroi,25,992
Go Down Deh (Feat. Shaggy And Sean Paul),Go Down Deh (Feat. Shaggy And Sean Paul),0,2021-04-30,Spice,554,993
Cake By The Ocean - Cover,New Tik&Tok - Buzz Best -,1,2023-06-07,Music Lab Jpn,9,994
Miles On It,Miles On It,0,2024-05-03,Marshmello,202,995
El Caballito,El Caballito - Single,1,2024-06-07,Fariana,555,996
Pick Up The Phone (Feat. Nate Dogg),Pick Up The Phone (Feat. Nate Dogg),1,2024-05-31,Pawsa,556,997
Tomorrow 2 (With Cardi B),Tomorrow 2 (With Cardi B),1,2022-09-23,Glorilla,271,998
Se Preparï¿,Se Preparï¿,0,2017-08-10,Ozuna,236,999
Lost On You,Lost On You,0,2016-03-24,Lp,557,1000
Leï¿½,Leï¿½Ï¿½O - Si,0,2022-12-08,Marï¿½Ï¿½Lia Mendo,558,1001
"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")","What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",0,2023-07-12,Pritam,559,1002
Lean Wit Me,Lean Wit Me,1,2018-05-22,Juice Wrld,117,1003
Hotel Lobby (Unc & Phew),Hotel Lobby (Unc And Phew),1,2022-05-20,Quavo,560,1004
"Choli Ke Peeche (From ""Crew"")","Choli Ke Peeche (From ""Crew"") - Single",0,2024-03-20,Diljit Dosanjh,561,1005
April Rain In August Weather,April Rain In August Weather - Single,0,2023-03-24,Baba Blakes,562,1006
Leather,Leather,1,2023-01-27,Makaela,563,1007
Panini,Panini,0,2019-06-20,Lil Nas X,65,1008
She Had Me At Heads Carolina,Stereotype,0,2022-04-08,Cole Swindell,564,1009
"So Long, London",The Tortured Poets Department,0,2024-04-18,Taylor Swift,17,1010
Good 4 U,Good 4 U,0,2021-05-14,Olivia Rodrigo,107,1011
Bad Idea Right?,Bad Idea Right?,1,2023-08-11,Olivia Rodrigo,107,1012
"Ay, Dios Mï¿½Ï","Ay, Dios Mï¿½Ï",0,2020-07-10,Karol G,69,1013
Happier,Sour,1,2021-05-21,Olivia Rodrigo,107,1014
Lalala,Lalala,1,2019-06-28,Y2K,565,1015
One More Time,One More Time / More Than You Know,0,2023-09-21,Blink-182,566,1016
