Track,Album Name,Explicit Track,Release Date,Artist,artist_id,track_id
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",0,2023-01-11,Bizarrap,63,73
The Way We Move - Extended Mix,The Way We Move,0,2023-03-10,Powerdress,64,74
Old Town Road,Old Town Road,0,2019-03-14,Lil Nas X,65,75
Un X100To,Un X100To,0,2023-04-17,Grupo Frontera,66,76
Laxed Ï¿½Ï¿½Ï¿½ Sire,Laxed (Siren Beat),0,2020-04-24,Jawsh 685,67,77
Sprinter,Sprinter - Single,1,2023-06-01,Dave,68,78
Chihiro,Hit Me Hard And Soft,0,2024-05-17,Billie Eilish,13,79
Tqg,Tqg,1,2023-02-23,Karol G,69,80
Perfect,Ýý (Deluxe),0,2017-03-03,Ed Sheeran,47,81
Pepas,Pepas,1,2021-06-24,Farruko,70,82
Peekaboo,Glide - Single,0,2023-01-27,Dave Angel,71,83
Ella Baila Sola,Ella Baila Sola,0,2023-03-16,Eslabon Armado,72,84
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),0,2023-05-25,Dua Lipa,42,85
La Bebe - Remix,La Bebe (Remix),1,2023-03-17,Yng Lvcas,73,86
Redrum,American Dream,1,2024-01-12,21 Savage,74,87
Easy On Me,Easy On Me,0,2021-10-14,Adele,75,88
Titï¿½Ï¿½ Me Pregu,Un Verano Sin Ti,1,2022-05-06,Bad Bunny,56,89
All My Life (Feat. J. Cole),All My Life (Feat. J. Cole),1,2023-05-12,Lil Durk,76,90
Anti-Hero,Midnights,0,2022-10-21,Taylor Swift,17,91
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",0,2022-07-06,Bizarrap,63,92
Magnetic,Super Real Me,0,2024-03-25,Illit,77,93
Lollipop,Everybody Go To The Discotek,1,2023-07-28,Darell,78,94
La Diabla,La Diabla - Single,0,2023-12-02,Xavi,79,95
Boy'S A Liar Pt. 2,Boy'S A Liar Pt. 2,1,2023-02-03,Pinkpantheress,80,96
Snooze,Sos,1,2022-12-09,Sza,59,97
Bellakeo,Bellakeo,1,2023-12-07,Peso Pluma,81,98
Agora Hills,Scarlet,1,2023-09-22,Doja Cat,20,99
Prada,Prada,1,2023-08-11,Cassï¿,82,100
Montagem Rave Eterno,Montagem Rave Eterno,0,2024-05-02,Dj Samir,83,101
Lil Boo Thang,Lil Boo Thang,0,2023-08-18,Paul Russell,84,102
Monaco,Nadie Sabe Lo Que Va A Pasar Maï¿½Ï¿,1,2023-10-13,Bad Bunny,56,103
Laxed (Siren Beat),Laxed (Siren Beat),0,2020-04-24,Jawsh 685,67,104
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],0,2023-06-15,Peggy Gou,85,105
Training Season,Training Season,0,2024-02-15,Dua Lipa,42,106
Type Shit,We Don'T Trust You,1,2024-03-22,Future,14,107
Armageddon,Armageddon - The 1St Album,0,2024-05-27,Aespa,55,108
The Box,Please Excuse Me For Being Antisocial,1,2019-12-06,Roddy Ricch,86,109
Industry Baby (Feat. Jack Harlow),Industry Baby (Feat. Jack Harlow),1,2021-07-23,Lil Nas X,65,110
Pedro,Pedro - Single,0,2024-03-29,Jaxomy,87,111
Fast Car,Gettin' Old,0,2023-03-24,Luke Combs,88,112
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,0,2024-01-07,Creepy Nuts,89,113
Aesthetic,Aesthetic,0,2022-03-04,Tollan Kim,90,114
Sunflower - Spider-Man: Into The Spider-Verse,Sunflower (Spider-Man: Into The Spider-Verse),0,2018-10-18,Post Malone,11,115
Hands,Hands,0,2022-08-01,Dianï¿½,91,116
Saturn,Saturn - Single,0,2024-02-24,Sza,59,117
Chegou A Hora De Ir Para Cama (Playback),3 Palavrinhas Vol.9 (Playback),0,2024-06-04,3 Palavrinhas,92,118
Believer,Believer,0,2017-01-31,Imagine Dragons,93,119
Wait For U (Feat. Drake & Tems),Wait For U (Feat. Drake & Tems),1,2022-04-27,Future,14,120
I Know ?,Utopia,1,2023-07-28,Travis Scott,94,121
Ando,Ando,1,2023-09-27,Jere Klein,95,122
First Class,First Class,1,2022-04-08,Jack Harlow,6,123
Fe!N,Utopia,1,2023-07-28,Travis Scott,94,124
Save Your Tears - Live,After Hours (Live At Sofi Stadium),1,2023-03-03,The Weeknd,49,125
Losing Interest - Original Mix,Losing Interest (Original),0,2024-06-10,Goovex,96,126
I Ain'T Worried,"I Ainï¿½Ï¿½Ï¿½T Worried (Music From The Motion Pi""Top Gun: Maverick"")",0,2022-05-13,Onerepublic,97,127
Mi Ex Tenï¿½Ï¿½A Ra,Maï¿½Ï¿½Ana Serï¿½Ï¿½ Bonito (Bichota,0,2023-08-10,Karol G,69,128
Drained Of Color,Drained Of Color,0,2022-08-30,Exhumed,98,129
Mood (Feat. Iann Dior),Mood (Feat. Iann Dior),1,2020-07-24,24Kgoldn,99,130
Dynamite,Dynamite,0,2020-08-21,Bts,100,131
Looking Like A Wow End Of Year 2023,Looking Like A Wow,0,2023-12-10,Wasteland,101,132
Someone You Loved,Breach,0,2018-11-08,Lewis Capaldi,102,133
Acrï¿½Ï¿½S,Acrï¿½Ï¿½Stico - Si,0,2023-05-11,Shakira,103,134
Made You Look,Takin' It Back,0,2022-10-21,Meghan Trainor,104,135
Phonk Brasileiro Fresco (Slowed + Reverb),Phonk Brasileiro Fresco,0,2023-06-22,Dj Moigus,105,136
"Sooseki (From ""Pushpa 2 The Rule"") [Telugu]","Sooseki (From ""Pushpa 2 The Rule"") [Telugu]",0,2024-05-29,Shreya Ghoshal,106,137
Vampire,Vampire,1,2023-06-30,Olivia Rodrigo,107,138
Casca De Bala,A Cara Das Vaquejadas 3.0,0,2024-03-01,Thullio Milionï¿½Ï¿,108,139
Back,Back,0,2022-08-03,Lola,109,140
People,People - Single,1,2022-12-05,Libianca,110,141
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,1,2024-01-05,Afrian Af,111,142
Lady Killers Ii (Christoph Andersson Remix),Lady Killers Ii (Christoph Andersson Remix),1,2024-03-17,G-Eazy,112,143
I Don'T Wanna Wait,I Don'T Wanna Wait,0,2024-04-05,David Guetta,39,144
Abc,Abc,0,2023-02-14,J Ross,113,145
La Bachata,La Bachata,0,2022-05-26,Manuel Turizo,114,146
Ýýýýýýýýýýýýýýýýýýýýý,Ýýýýýýýýýýýýýýýýýýýýý,0,2023-04-07,Fli:P,115,147
Peaches (Feat. Daniel Caesar & Giveon),Justice,1,2021-03-19,Justin Bieber,116,148
Don'T Start Now,Don'T Start Now,0,2019-10-31,Dua Lipa,42,149
Lucid Dreams,Lucid Dreams,1,2018-05-04,Juice Wrld,117,150
Provenza,Provenza,0,2022-04-22,Karol G,69,151
Wap (Feat. Megan Thee Stallion),Wap (Feat. Megan Thee Stallion),1,2020-08-07,Cardi B,118,152
Spot!,Spot!,0,2024-04-26,Zico,119,153
Family Matters,Family Matters,1,2024-05-03,Drake,120,154
Again,Missing,0,2024-06-09,Kurochuu,121,155
Seven (Feat. Latto) (Explicit Ver.),Seven (Feat. Latto),1,2023-07-14,Jung Kook,122,156
Last Night,3 Songs At A Time Sampler,1,2023-01-31,Morgan Wallen,123,157
Bad Habits,#Name?,0,2020-01-01,Ed Sheeran,47,158
Qlona,Maï¿½Ï¿½Ana Serï¿½Ï¿½ Bonito (Bichota,1,2023-08-10,Karol G,69,159
Leave The Door Open,Leave The Door Open,0,2021-03-05,Bruno Mars,124,160
Ýýýýýýýýýýýýýýýýýý,Ýýýýýýýýýýýýýýý 3Ýýýýýý Ýýýýýýýýýýýýýýý,0,2022-01-05,Ýýýýýýýýýýýýýýý(Ýýýýýýýýýýýýýýý),125,161
Good 4 U,Good 4 U,1,2021-05-14,Olivia Rodrigo,107,162
Bad Guy,"When We All Fall Asleep, Where Do We Go?",0,2019-03-29,Billie Eilish,13,163
Seï¿½Ï¿½O,Shawn Mendes (Deluxe),0,2018-05-25,Shawn Mendes,126,164
Despechï¿,Despechï¿,1,2022-07-28,Rosalï¿½,127,165
Rockstar (Feat. Roddy Ricch),Blame It On Baby,1,2020-04-17,Dababy,128,166
Eyes Closed,Eyes Closed (Piano Version),0,2023-03-23,Ed Sheeran,47,167
I Remember Everything (Feat. Kacey Musgraves),I Remember Everything (Feat. Kacey Musgraves),0,2023-08-24,Zach Bryan,129,168
Circles,Circles,0,2019-08-30,Post Malone,11,169
El Amor De Su Vida,El Amor De Su Vida,0,2023-08-03,Grupo Frontera,66,170
About Damn Time,About Damn Time,1,2022-04-14,Lizzo,130,171
Closer,Closer,0,2016-07-29,The Chainsmokers,131,172
Flower,Me,0,2023-03-31,Jisoo,132,173
Perro Negro,Nadie Sabe Lo Que Va A Pasar Maï¿½Ï¿,1,2023-10-13,Bad Bunny,56,174
Rich Baby Daddy (Feat. Sexyy Red & Sza),For All The Dogs,1,2023-10-06,Drake,120,175
Havana (Feat. Young Thug),Havana,0,2017-08-03,Camila Cabello,133,176
Luna,Ferxxocalipsis,0,2023-12-01,Feid,134,177
I Like You (A Happier Song) (With Doja Cat),Twelve Carat Toothache,1,2022-06-03,Post Malone,11,178
Bones,Bones,0,2022-03-11,Imagine Dragons,93,179
Segï¿½Ï¿½N Qu,Segï¿½Ï¿½N Qu,1,2023-08-17,Maluma,135,180
Selfish,Selfish,0,2024-01-25,Justin Timberlake,136,181
Golden Hour,Golden Hour,0,2022-07-15,Jvke,137,182
Levitating (Feat. Dababy),Future Nostalgia,0,2020-03-27,Dua Lipa,42,183
Get It Sexyy,Get It Sexyy,1,2024-03-15,Sexyy Red,138,184
"This Wish - From ""Wish""","This Wish (From ""Wish"")",0,2023-10-18,Ariana Debose,139,185
Idgaf (Feat. Yeat),For All The Dogs,1,2023-10-06,Drake,120,186
Ojitos Lindos,Un Verano Sin Ti,0,2022-05-06,Bad Bunny,56,187
Life Is Good (Feat. Drake),Life Is Good (Feat. Drake),1,2020-01-10,Future,14,188
Escapism.,Escapism. / The Thrill Is Gone.,1,2022-10-12,Raye,140,189
Stargazing,Stargazing,0,2024-05-10,Myles Smith,141,190
Jimmy Cooks (Feat. 21 Savage),"Honestly, Nevermind",1,2022-06-17,Drake,120,191
What You Know Bout Love,Shoot For The Stars Aim For The Moon,1,2020-07-03,Pop Smoke,142,192
Memories,Memories,0,2019-09-20,Maroon 5,143,193
Classy 101,Classy 101,1,2023-03-31,Feid,134,194
Whatever,Whatever,0,2024-01-19,Kygo,144,195
Whatever She Wants,Whatever She Wants,1,2024-02-13,Bryson Tiller,145,196
Vois Sur Ton Chemin - Techno Mix,Vois Sur Ton Chemin (Techno Mix),0,2023-08-04,Bennett,146,197
"Yes, And?","Yes, And?",1,2024-01-12,Ariana Grande,27,198
Without Me,Without Me,1,2018-10-04,Halsey,147,199
Meet The Grahams,Meet The Grahams,1,2024-05-03,Kendrick Lamar,2,200
First Person Shooter (Feat. J. Cole),For All The Dogs,1,2023-10-06,Drake,120,201
Shallow,Shallow,0,2018-09-27,Lady Gaga,148,202
Thunder,Thunder,0,2017-04-27,Imagine Dragons,93,203
Rush,Rush,0,2022-09-16,Ayra Starr,149,204
Abcdefu,Abcdefu,1,2021-08-13,Gayle,150,205
Buga,Buga,0,2022-05-03,Kizz Daniel,151,206
Bad Habit,Bad Habit,1,2022-06-29,Steve Lacy,152,207
Money,Lalisa,1,2021-09-10,Lisa,153,208
Columbia,Columbia,0,2023-07-07,Quevedo,154,209
Lady Gaga,Lady Gaga,1,2023-06-22,Peso Pluma,81,210
Woman,Planet Her,1,2021-06-25,Doja Cat,20,211
Cuff It,Renaissance,1,2022-07-29,Beyoncï¿,22,212
King Kong,King Kong,0,2024-05-28,Treasure,155,213
How You Like That,How You Like That,0,2020-06-25,Blackpink,156,214
Milf Song,Milf Song,0,2022-08-19,The Puddleducks,157,215
Nasty,Nasty,0,2024-04-12,Tinashe,158,216
Superhero (Heroes & Villains),Heroes & Villains,1,2022-12-02,Metro Boomin,50,217
Panda,Panda,1,2016-02-26,Desiigner,159,218
Push Ups,Push Ups,1,2024-04-19,Drake,120,219
Tattoo,Tattoo,0,2023-02-25,Loreen,160,220
Kiss Me More (Feat. Sza),Kiss Me More (Feat. Sza),1,2021-04-09,Doja Cat,20,221
What It Is (Block Boy) (With Kodak Black),What It Is (Versions),1,2023-03-17,Doechii,161,222
Gata Only,Gata Only - Single,0,2023-12-21,Floyymenor,8,223
Illusion,Illusion,1,2024-04-11,Dua Lipa,42,224
Drivers License,Drivers License,1,2021-01-08,Olivia Rodrigo,107,225
Used To Be Young,Endless Summer Vacation,0,2023-08-18,Miley Cyrus,4,226
Cupid - Twin Ver.,The Beginning: Cupid - Single,0,2023-02-24,Fifty Fifty,162,227
How Sweet,How Sweet,0,2024-05-24,Newjeans,163,228
Players,Players,1,2022-11-30,Coi Leray,164,229
Rockstar (Feat. 21 Savage),Rockstar,1,2017-09-15,Post Malone,11,230
Lil Somethin Somethin,Lil Somethin Somethin,1,2023-03-11,Vayah,165,231
Con Calma,Con Calma,0,2019-01-24,Daddy Yankee,166,232
Here With Me,Here With Me,0,2022-07-20,D4Vd,167,233
Favorite Song,Favorite Song,0,2023-02-17,Toosii,168,234
Si No Quieres No,Si No Quieres No - Single,0,2024-03-09,Luis R Conriquez,169,235
Mele Kalikimaka,"Essential Classics, Vol. 166: Bing Crosby",0,2024-06-05,Bing Crosby,170,236
Montero (Call Me By Your Name),Montero (Call Me By Your Name),1,2021-03-26,Lil Nas X,65,237
Voz Emplumada Del Monte,Voz Emplumada - Ep,0,2023-03-03,Biomigrant,171,238
Is It Over Now? (Taylor'S Version) (From The Vault),1989 (Taylor'S Version),0,2023-10-26,Taylor Swift,17,239
Si No Estï¿½,Si No Estï¿½Ï¿½S - Si,0,2022-09-22,Iï¿½Ï¿½Igo Quin,172,240
Glimpse Of Us,Glimpse Of Us,0,2022-06-10,Joji,173,241
Watermelon Sugar,Watermelon Sugar,0,2019-11-17,Harry Styles,19,242
Corazï¿½Ï¿½N De Pi,Corazï¿½Ï¿½N De Piedra - Si,0,2024-03-23,Xavi,79,243
Praise Jah In The Moonlight,Praise Jah In The Moonlight - Single,1,2023-12-27,Yg Marley,174,244
Where She Goes,Where She Goes,1,2023-05-18,Bad Bunny,56,245
Yandel 150,Yandel 150,1,2022-12-20,Yandel,175,246
Thats What I Want,Montero,1,2021-09-17,Lil Nas X,65,247
Todo De Ti,Todo De Ti,1,2021-05-20,Rauw Alejandro,176,248
Chemical,Chemical,1,2023-04-14,Post Malone,11,249
See You Again (Feat. Charlie Puth),See You Again (Feat. Charlie Puth),0,2015-01-01,Wiz Khalifa,177,250
Drip Too Hard (Lil Baby & Gunna),Drip Too Hard,1,2018-09-12,Lil Baby,178,251
Shooting Star,Kep1Going On,0,2024-06-03,Kep1Er,179,252
Uptown Funk,Full Circle: The Live Anthology,1,2011-11-20,Mark Ronson,180,253
Dog'S Plan,Thoughts Feelings,0,2023-03-02,David Jackson,181,254
Love Nwantiti (Ah Ah Ah),Ckay The First,1,2019-08-30,Ckay,182,255
